animal,right_bad,left_bad,total,pct_bad,type
1,5,3,8,0.08,w
1,3,7,10,0.1,w
1,4,2,6,0.06,w
2,5,1,6,0.06,k
2,3,3,6,0.06,k
2,6,2,8,0.08,k
3,5,8,13,0.13,w
3,3,9,12,0.12,w
3,7,13,20,0.2,w
4,11,18,29,0.29,k
4,10,13,23,0.23,k
4,11,8,19,0.19,k
5,7,3,10,0.1,v
5,6,5,11,0.11,v
5,5,7,12,0.12,v
6,6,6,12,0.12,v
6,2,4,6,0.06,v
6,0,3,3,0.03,v
7,10,3,13,0.13,k
7,3,3,6,0.06,k
7,1,4,5,0.05,k
8,12,12,24,0.24,w
8,15,15,30,0.3,w
8,12,8,20,0.2,w
9,15,12,27,0.27,k
9,14,10,24,0.24,k
9,13,9,22,0.22,k
10*(10),10,9,19,0.19,w
10*(10),6,5,11,0.11,w
10*(10),8,10,18,0.18,w
10(11),16,18,34,0.34,v
10(11),15,13,28,0.28,v
10(11),7,9,16,0.16,v
12,7,10,17,0.17,v
12,4,13,17,0.17,v
12,8,11,19,0.19,v
14,11,7,18,0.18,k
14,7,9,16,0.16,k
14,7,8,15,0.15,k
15,0,9,9,0.09,w
15,1,7,8,0.08,w
15,2,4,6,0.06,w
16,0,11,11,0.11,k
16,3,5,8,0.08,k
16,1,5,6,0.06,k
17,14,11,25,0.25,v
17,15,15,30,0.3,v
17,17,11,28,0.28,v
18,5,5,10,0.1,v
18,3,3,6,0.06,v
18,8,5,13,0.13,v
19,2,5,7,0.07,k
19,1,5,6,0.06,k
19,1,1,2,0.02,k
20,4,13,17,0.17,w
20,2,7,9,0.09,w
20,4,7,11,0.11,w
21,2,14,16,0.16,k
21,3,16,19,0.19,k
21,1,11,12,0.12,k
22,6,0,6,0.06,w
22,5,2,7,0.07,w
22,3,1,4,0.04,w
23,10,12,22,0.22,v
23,5,10,15,0.15,v
23,2,6,8,0.08,v
24,3,9,12,0.12,v
24,5,5,10,0.1,v
24,5,0,5,0.05,v
25,2,5,7,0.07,w
25,2,4,6,0.06,w
25,1,5,6,0.06,w
26,18,12,30,0.3,k
26,14,10,24,0.24,k
26,13,14,27,0.27,k
27,1,0,1,0.01,w
27,4,1,5,0.05,w
27,2,1,3,0.03,w
28,11,8,19,0.19,k
28,8,10,18,0.18,k
28,7,8,15,0.15,k
29,9,8,17,0.17,v
29,12,7,19,0.19,v
29,17,8,25,0.25,v
30,3,8,11,0.11,v
30,4,7,11,0.11,v
30,5,9,14,0.14,v
31,6,4,10,0.1,w
31,5,4,9,0.09,w
31,9,9,18,0.18,w
32,10,16,26,0.26,w
32,9,13,22,0.22,w
32,6,14,20,0.2,w
